name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
raipur chhattisgarh,2025-08-17T02:00:00,25.5,25.5,24.3,93.09,0.2,54.8,rain,0,0,24.8,13.7,236.6,999,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T03:00:00,25.3,25.3,24.2,93.64,0.1,54.8,rain,0,0,23.4,12.2,244,999,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T04:00:00,25.2,25.2,24.2,94.2,0,54.8,rain,0,0,20.5,10.4,233.3,999,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T05:00:00,25.2,25.2,24.1,93.63,0,54.8,rain,0,0,19.8,11.2,227.4,999,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T06:00:00,24.9,24.9,23.9,94.18,0,54.8,rain,0,0,20.5,11.5,224,1000,92.5,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T07:00:00,25.2,25.2,23.8,91.96,0,32.3,,0,0,18,12.2,223.1,1001,99.4,24.1,27,0.1,0,10,Overcast,cloudy,
raipur chhattisgarh,2025-08-17T08:00:00,26,26,23.8,87.69,0,32.3,,0,0,13.3,11.9,228.3,1001,99.1,24.1,182,0.7,2,10,Overcast,cloudy,
raipur chhattisgarh,2025-08-17T09:00:00,27,29.8,23.7,82.17,0,32.3,,0,0,9.7,10.1,226.3,1002,100,24.1,363,1.3,4,10,Overcast,cloudy,
raipur chhattisgarh,2025-08-17T10:00:00,27.8,31.3,23.7,78.41,0.1,32.3,rain,0,0,9.4,10.4,217.1,1002,97.7,24.1,439,1.6,4,10,Overcast,cloudy,
raipur chhattisgarh,2025-08-17T11:00:00,28.8,33,23.8,74.43,0,32.3,,0,0,9.4,11.9,215.9,1001,80.3,24.1,635,2.3,6,30,Partially cloudy,partly-cloudy-day,
raipur chhattisgarh,2025-08-17T12:00:00,29.6,34.2,23.8,71.06,0.1,32.3,rain,0,0,9.4,12.2,212.9,1001,70.7,24.1,771,2.8,8,30,Partially cloudy,partly-cloudy-day,
raipur chhattisgarh,2025-08-17T13:00:00,30.2,35.1,23.8,68.65,0,80.6,rain,0,0,8.6,11.5,217.3,1000,64.3,24.1,760,2.7,8,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-17T14:00:00,30.9,36,23.7,65.56,0,80.6,rain,0,0,7.6,10.4,224.3,999,86.8,24.1,768,2.8,8,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-17T15:00:00,31,36,23.6,64.79,0.1,80.6,rain,0,0,7.2,9.7,227.6,998,89.4,24.1,552,2,6,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-17T16:00:00,30.8,35.6,23.5,65.14,0.3,80.6,rain,0,0,5.4,7.6,230.3,998,99.6,24.1,408,1.5,4,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T17:00:00,30.7,35.4,23.4,65.12,0.2,80.6,rain,0,0,2.9,4.7,222,998,98.5,24.1,307,1.1,3,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T18:00:00,30.5,35.4,23.7,67.07,0,80.6,rain,0,0,2.9,4,216.2,999,99.4,24.1,161,0.6,2,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T19:00:00,29.3,34.1,24.2,74.06,0.7,77.4,rain,0,0,4.3,4,189,999,100,24.1,57,0.2,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T20:00:00,28.5,32.9,24.3,78.04,2.3,77.4,rain,0,0,3.2,2.5,172.8,1000,100,10.8,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T21:00:00,27.9,31.8,24.3,80.82,2.9,77.4,rain,0,0,4,3.2,127.7,1001,90.1,4.4,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T22:00:00,27.6,31,23.9,80.29,2,77.4,rain,0,0,8.3,7.2,131,1001,93.3,7.5,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-17T23:00:00,27.3,30.5,23.9,81.72,0.7,77.4,rain,0,0,7.6,6.1,142.6,1001,99.7,18.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T00:00:00,27,29.9,23.9,83.17,0.4,77.4,rain,0,0,5.4,4.7,156,1001,100,9.6,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T01:00:00,26.8,29.5,23.9,84.15,0.3,67.7,rain,0,0,3.2,2.5,163.6,1000,100,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T02:00:00,26.5,26.5,23.9,85.65,0,67.7,rain,0,0,3.2,2.5,154.5,1000,100,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T03:00:00,26.3,26.3,23.9,86.67,0,67.7,rain,0,0,6.1,5.4,100.7,1000,100,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T04:00:00,26.1,26.1,23.9,87.7,0.1,67.7,rain,0,0,9.7,7.2,91,999,100,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T05:00:00,25.7,25.7,23.9,89.81,0,67.7,rain,0,0,16.9,9,97.1,1000,100,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T06:00:00,25.2,25.2,23.8,91.96,0,67.7,rain,0,0,20.5,10.1,85.2,1000,98,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T07:00:00,25.5,25.5,23.8,90.33,0,58.1,rain,0,0,22.3,10.8,90.2,1001,100,24.1,28,0.1,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T08:00:00,26.4,26.4,23.4,83.6,0.1,58.1,rain,0,0,25.6,16.6,101.6,1002,99.3,24.1,176,0.6,2,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T09:00:00,27.6,30.6,23.2,76.98,0,58.1,rain,0,0,20.9,15.8,101.4,1002,62.2,24.1,380,1.4,4,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-18T10:00:00,29.1,32.8,23,69.69,0,58.1,rain,0,0,21.6,17.3,91.7,1002,95.9,24.1,637,2.3,6,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T11:00:00,30.1,34.1,22.9,65.39,0,58.1,rain,0,0,23,18.4,90.4,1002,98.2,24.1,791,2.8,8,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T12:00:00,31.1,35.3,22.8,61.38,0.2,58.1,rain,0,0,22.3,18.7,84.7,1001,100,24.1,882,3.2,9,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T13:00:00,31.6,35.9,22.7,59.3,0.1,77.4,rain,0,0,21.2,18,84.5,1000,90.8,24.1,853,3.1,9,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T14:00:00,30.9,35,22.7,61.71,0.3,77.4,rain,0,0,21.6,18.7,83.4,999,100,18.8,504,1.8,5,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T15:00:00,31.1,35.4,22.9,61.76,0.3,77.4,rain,0,0,21.6,18.4,82.1,998,100,19.3,560,2,6,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T16:00:00,31,35.3,22.9,62.11,0.1,77.4,rain,0,0,22.3,18.7,79.6,998,99.4,24.1,548,2,5,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T17:00:00,30.9,35.2,23,62.84,0,77.4,rain,0,0,22,16.9,80,998,100,24.1,448,1.6,4,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T18:00:00,29.7,34.3,23.7,70.23,0.4,77.4,rain,0,0,18.7,14,74.5,998,99.1,23.1,247,0.9,2,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T19:00:00,27.8,31.4,23.9,79.36,1.2,90.3,rain,0,0,20.5,11.5,73.2,999,71.1,5.8,51,0.2,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-18T20:00:00,27.3,30.5,24,82.21,1,90.3,rain,0,0,19.4,10.1,74.5,1000,89.5,24.1,0,0,0,30,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-18T21:00:00,26.9,29.7,23.8,83.16,0.8,90.3,rain,0,0,20.9,10.4,86.1,1000,93,18.2,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T22:00:00,26.7,26.7,23.8,84.14,0.3,90.3,rain,0,0,20.2,9,98.8,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-18T23:00:00,26.4,26.4,23.8,85.64,0,90.3,rain,0,0,16.9,7.6,91.4,1000,100,24.1,0,0,0,30,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T00:00:00,26.2,26.2,23.7,86.14,0.2,90.3,rain,0,0,14.8,7.9,87.4,1000,100,15.3,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T01:00:00,26,26,23.5,86.12,0.6,64.5,rain,0,0,11.5,6.5,80.8,1000,98.1,24.1,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T02:00:00,26,26,23.3,85.09,0.2,64.5,rain,0,0,7.2,6.1,72,999,100,11.6,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T03:00:00,26.1,26.1,23,83.07,1.2,64.5,rain,0,0,7.9,6.8,50.1,998,100,23,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T04:00:00,26,26,23,83.56,0.6,64.5,rain,0,0,11.2,8.3,35.1,998,100,13,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T05:00:00,26,26,23,83.56,0.7,64.5,rain,0,0,10.8,7.6,37.9,998,99.8,11.9,0,0,0,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T06:00:00,25.9,25.9,22.9,83.55,0.3,64.5,rain,0,0,8.3,6.8,58,999,31.1,20.9,0,0,0,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T07:00:00,26.6,26.6,22.8,79.68,0,71,rain,0,0,11.4,7.3,47.1,999.3,47,21.3,71.3,0.3,1,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T08:00:00,27.3,30,22.7,76.01,0,71,rain,0,0,14.5,7.8,36.1,999.7,63,21.6,142.7,0.5,1,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T09:00:00,28.1,31.1,22.7,72.53,1.3,71,rain,0,0,17.6,8.3,25.2,1000,78.9,22,214,0.8,2,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T10:00:00,28.2,31.2,22.6,71.82,0,71,rain,0,0,16.6,8.8,34.4,999.7,83.9,20.9,294.3,1.1,3,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T11:00:00,28.3,31.3,22.5,71.11,0,71,rain,0,0,15.5,9.2,43.6,999.3,89,19.9,374.7,1.3,4,10,"Rain, Partially cloudy",rain,
raipur chhattisgarh,2025-08-19T12:00:00,28.4,31.4,22.5,70.41,1.3,71,rain,0,0,14.4,9.7,52.8,999,94,18.8,455,1.6,5,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T13:00:00,28,31,22.6,72.38,0,67.7,rain,0,0,11.6,7.6,45.2,998.3,96,20.6,397,1.4,4,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T14:00:00,27.7,30.6,22.7,74.4,0,67.7,rain,0,0,8.9,5.4,37.6,997.7,98,22.3,339,1.2,3,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T15:00:00,27.4,30.1,22.9,76.48,1.6,67.7,rain,0,0,6.1,3.2,30,997,100,24.1,281,1,3,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T16:00:00,26.9,29.5,23.1,79.88,0,67.7,rain,0,0,10.3,6.2,93.6,996.7,97.1,18.6,237.3,0.8,2,10,"Rain, Overcast",rain,
raipur chhattisgarh,2025-08-19T17:00:00,26.4,26.4,23.4,83.44,0,67.7,rain,0,0,14.5,9.2,157.2,996.3,94.1,13,193.7,0.7,2,10,"Rain, Overcast",rain,
